Listing Name,category,"image, location",description,address,phone,website,reviewnumber,reviewscore
Alfa Services,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_16145.gif,"Alfa-Services is a well established Air Conditioning Company based in Pretoria. We supply , repair and maintain almost any brand of air-conditioner.","Menlopark
		
		
					Menlo Park, Greater Pretoria",076 819 4845,www.allaboutroofing.co.za,(0 reviews),0
All About Roofing,"in Homemakers Shopping, Household Products, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_18036.gif,"All About Roofing is proud to offer a cost effective, permanent roofing solution for your home. We are so confident about our product that we offer a 15 year warranty!
",Services in the Northern Suburbs of Gauteng,082 928 2129 ,View Alpha Drains &Plumbing Website,(1 review),5
Alpha Drains & Plumbing,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13184.gif,"Established in 1989, we now employ eleven fully equipped plumbing teams, a blockage team and a Water Leak detection team to give effect to our motto of providing a reliable and speedy same-day-service without sacrificing on quality. ",Services throughout La Lucia,(011) 794 2431 / (011) 794 2837,http://www.alupicketcape.co.za/,(0 reviews),0
Alu-Picket Aluminium Western Cape,"in Renovating and Building Services, Home Interior and Decor, Homemakers Shopping",http://www.sahomesguide.co.za/custom/image_files/photo_16052.gif,A proud and long-standing supplier and installer of 100% Guaranteed Quality Aluminium products. Choose Aluminium................it's for Life!,Services throughout Eastern Cape and surrounds,021 790 6662 or 082 651 2910,View Amawele Plumbing Website,(0 reviews),0
AM:PM Plumbers,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13172.gif,Whether it's replacing a tap washer or completely refitting a bathroom we promise our customers the same high standard of service that our reputation has been built on for over 20 years. ,"24 Sally Ann Drive, Waterfall, Kwazulu Natal
		
		
					Hillcrest, Durban Metro and Durban",031 562 9193,See A.P.E Website,(0 reviews),0
Amawele Plumbing (Pty)Ltd,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13222.gif,We provide professional and efficient plumbing services througout the Province of the Eastern Cape. You can trust Amawele Plumbing for excellence !,Services throughout Pretoria,083 273 8689 / 083 273 8745,See Builders Warehouse Website,(0 reviews),0
APE All Plumbing & Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13160.gif,We provide a range of services and have a highly skilled and dedicated team.,Services throughout South Africa,031 766 3654,See Burfess & PartnersPlumbing Services website,(0 reviews),0
Autotex Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13268.jpg,Need and Electrician? Well we are just a phone call away.,Services throughout Gauteng,079 453 3400,Visit Calco Plumbers Website,(0 reviews),0
Builders Warehouse,"in Renovating and Building Services, Landscaping",http://www.sahomesguide.co.za/custom/image_files/photo_13022.gif,"Builders Warehouse is part of Massmart Holdings and forms part of the Massbuild Division. Massbuild comprises Builders Warehouse, Tile Warehouse, Builders Express (formerly Servistar) and Builders Trade Depot (formerly Federated Timbers).","95 Mc Bride Street 
		
					Brackenhurst
		
					Alberton, East Rand 1449",0860 284 533,http://www.cpbothmasteel.co.za/,(0 reviews),0
Burfess & Partners Plumbing Services ,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13040.gif,"Burgess & Partners Plumbing Services has committed to do the following ""To be the best at what we do through the SERVICE we provide, and the WORK we do, for our CUSTOMERS.""",Services throughout South Africa,0860 40 41 42 / 082 783 6772,See CTM Website,(0 reviews),0
Calco Plumbers,"in Renovating and Building Services, Household Services",http://www.sahomesguide.co.za/custom/image_files/photo_15315.gif,CALCO PLUMBERS OFFER A PROFESSIONAL AND RELIABLE PLUMBING EXPERIENCE IN THE JOHANNESBURG AREA!,Services throughout Pietermaritzburg,011 867 0134 or 082 780 5636,See Dusi Electrical Website,(0 reviews),0
CP Bothma Steel and Constructions,"in Renovating and Building Services, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_16255.gif,CP Bothma Steel and Constructions offering the best and affordable security services in Gauteng and surrounding areas.,Pretoria  / Centurion,083 489 8880,Visit DVineLight Website,(0 reviews),0
CTM,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_12959.gif,At CTM we hae a single-minded commitment. Find the very best quality at most affordable prices.,"6 Porthpean Street
		
					New Redruth
		
					1450",011 510 9050,View Dynamic MaintenanceServices Website,(0 reviews),0
Dusi Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13140.gif,"We are a fully fledged black empowerment company within the management of Dusi Electrical. We comprise of a highly experience team, committed to maintaining the high standards that is expected from us.",Services throughout Gauteng,033 342 6276,View Edge to Edge 1123 cc infopage,(0 reviews),0
DVineLight,"in Home and Living Shopping, Homemakers Shopping, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_15146.gif,"We design & manufacture children's night lights and other acrylic lamps for use as decor, signs & corporate identity.",Services throughout Bloemfontein,011 867 0451 or 082 923 6546,See Electrician 911 Website,(0 reviews),0
Dynamic Maintenance Services,"in Renovating and Building Services, Landscaping, Household Services",http://www.sahomesguide.co.za/custom/image_files/photo_14075.jpg,Dynamic Maintenance Services Offers Superior Services since 2000,"16 Kennington Road, Nahoon, East London
		
		
					East London Area, Amatola And Stormberg",012 665 2846 or 082 927 7694,See Electro Seal Website,(0 reviews),0
Edge to Edge 1123 cc,"in Renovating and Building Services, Household Services",http://www.sahomesguide.co.za/custom/image_files/photo_18396.jpg,"Concrete roof areas, Insulated boarded roofs, Lightweight screeded roofs, IBR & Corrugated roofs Retaining and parapet walls, Water features and balconies...",Services throughout Durban North,011 869 3105 or 072 340 3453,See Electronique Website,(0 reviews),0
Electrician 911,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13090.gif,"We have been in this business since 2001, offering a comprehensive no quibble service on virtually any electrical system. All our technicians are highly trained and fully qualified. ",Services throughout Empangeni,083 427 2911,Services throughoutElectrotech Electrical Website,(0 reviews),0
Electro Seal,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13152.jpg,Electro Seal is a company that takes only qualified personnel to make sure you get only the best service and workmanship.,Services throughout Eastern Cape and surrounds,076 353 2876,See Eltek Electrical Website,(0 reviews),0
Electronique,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13104.jpg,Electronique is based in East London in the Eastern Cape.,Services throughout the Garden Route,043 735 4887,View Enviro-Tech Website,(0 reviews),0
Electrotech Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13108.gif,We at Electrotech Electrical cc are committed to providing excellent service that goes beyond industry and commercial standards.,"Randburg
		
		
					Randburg, Greater Johannesburg",031 502 2661 / 031 502 1852,See Expert Electric Website,(0 reviews),0
Eltek Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13142.gif,Come to Eletek for any electrical problems.,Services throughout Gauteng,035 772 5740,http://gaswize@gmail.com,(0 reviews),0
Enviro-Tech,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13188.gif,"Enviro-tech stands at the forefront of waste and underground asset management in the Eastern Cape. Covering sectors from commercial and municipal to private, we are specialists in our field.",Services in East London and surrounds,041 451 5570,View GreenFogs Website.,(0 reviews),0
Expert Electric,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13092.gif,"Welcome to Expert Electric. In an environment of ever increasing costs, coupled with decreasing value and service delivery, customers value professionalism, service, high quality materials, honesty and integrity.","Services in Johannesburg, Gauteng",083 381 7920,View Greg's Plumbing &Tiling CC Website,(0 reviews),0
Gas Wize,"in Homemakers Shopping, Household Services, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_18382.jpg,"We provide gas advice, central heating installation and servicing of appliances.","122 George Ave, Sandringham
		
		
					Edenvale, East Rand",084 504 0761,http://www.grubuild.co.za,(0 reviews),0
GreenFogs,"in Household Services, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_16081.gif,"We specialise in commercial sized, high rise building grease interceptor maintenance as well as deep basement placements. We remediate the more common variety grease traps and compile a bespoke maintenance solution for every site.","Service Howick, Midlands and Greater PMB Areas",+27(0) 87 802 - 6324,View Heavens Lofts Website,(0 reviews),0
Greg's Plumbing & Tiling CC,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13200.gif,Gregs Plumbing was established in 1997 in East London in the  Eastern Cape. We mainly focus on Plumbing and Tiling trades. Throughout these years we have maintained high standards.,"14 Cassiafield Grove
		
					Springfield Park
		
					Durban Beachfront Durban City Centre, Durban Metro and Durban 4001",043 726 7093 / 083 650 4868,www.impiteak.com,(0 reviews),0
GRUBUILD,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_16235.gif,"We provide a professional and complete building and renovating solution from the planning to giving the client peace of mind, knowing that there is only one person responsible for the entire co-ordination of all aspects of the project.",Gauteng and Surrounds,011 053 7157 or 084 429 6794,View Inovar Floor website,(0 reviews),0
Heavens Lofts,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13663.gif,"We, at Heaven's Lofts, aim to act in a way which is based on integrity, honesty and the ethical consideration of our actions and methods.",Services throughout South Africa,082 552 8118,www.insutherm.co.za,(0 reviews),0
Impi Teak,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_18237.jpg,"Impi Teak are  Manufacturers, Suppliers, and Installers of Hardwood Decks, Floors Parquet, Herringbone, Stair Treads & Risers, Landings, Laminated Tops (for use in Bathrooms, Kitchen or Bar Counter as well as Table Tops for Restaurant Tables)
","52 Van Wyk Street, Warrenton, Northern Cape
		
		
					Kimberley, Kalahari and Diamond Fields",082 332 6990 or 011 640 5221,http://ipaints.co.za/,(0 reviews),0
Industrilec,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13150.gif,Workmanship and repairs guaranteed.,Services throughout Balito,084 515 2855,See Jack's Paint &Hardware,(0 reviews),0
Inovar Floor,"in Renovating and Building Services, Homemakers Shopping, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_18619.jpg,"Inovar stockists of Laminate, Solid Wood and Vinyl Flooring in South Africa.",Services throughout Fourways,0860 346 356,See Laatz Electrical Website,(0 reviews),0
Insutherm,"in Renovating and Building Services, Household Services, Home and Living Shopping, Homecare Products",http://www.sahomesguide.co.za/custom/image_files/photo_18017.jpg,"Insutherm(Pty)Ltd Reg.no. 2014/063419/07 is a family business and has been an expert installer of IsoTherm products since June 2008.
","99 Spitskop Ridge
		
					Langenhoven Park
		
					Langenhovenpark, Transgariep and Goldfields",012 663 4833 or 081 330 0796,Visit Lifestyle on LocationWebsite,(0 reviews),0
iPaint Distribution,"in Home Interior and Decor, Homemakers Shopping, Renovating and Building Services, Paints",http://www.sahomesguide.co.za/custom/image_files/photo_16834.gif,"iPaint Distribution, suppliers of paint and related products.",7536,083 625 9313 ,Visit Lithaboto Trading ccWebsite,(0 reviews),0
Jack's Paint & Hardware,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13000.jpg,"Jack's Paint has continued to provide that quality service, quality paint at affordable prices, and to offer competent advice.","10 Bolt Park
		
					Bolt Avenue
		
					Montagu, Breede River Valley 7441",0860 522 577,http://www.loft-e-ladder.co.za,(0 reviews),0
Joherda Elektriese Kontrakteurs,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13100.gif,Call Joherda Elektriese Kontrakteurs for any electrical problems.,Services throughout Midrand,053 497 3274,Visit Lusinco - ELECTROPLATINGCC Website,(0 reviews),0
Laatz Electrical ,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13146.gif,For all your electrical installation & repair requirements.,"Unit D3, Prime Park, Mocke Road
		
		
					Diep River, Southern Suburbs 7800",(032) 946 3718 ,See Mosec Electrical Website,(0 reviews),0
Last Plumber Last Fix,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13164.jpg,"At Last Plumber Last Fix, we are a modern & innovative enterprise that have all the solutions for all your plumbing & painting requirements.",Services throughout Rosslyn East,011 039 7063,Visit Mr. Washline Website,(0 reviews),0
Lifestyle on Location,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_14420.jpg,Bringing a variety of mobile services to your door step at the office or home,Services throughout Kakamas,071 560 9829,See MVS Electrical Website,(0 reviews),0
Lithaboto Trading cc,"in Renovating and Building Services, Events at Home",http://www.sahomesguide.co.za/custom/image_files/photo_17752.gif,"At LITHABOTO TRADING cc,  we strive continuously to attain service excellence.",Services throughout Polokwane,051 446 0075 or 073 355 9285,See Oscon Website,(0 reviews),0
Loft-E-Ladder CC,"in Renovating and Building Services, Homemakers Shopping, Household Services, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_15657.gif,"Loft E Ladder is superior to anything else available in South Africa, it is proudly South African and First for Safety, Adjustability, Durability and Lifetime usage.",Services throughout Nelspruit,081 740 5620 or 021 785 7193,See P P E Technologies Website,(0 reviews),0
Lusinco - ELECTROPLATING CC,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_15565.gif,"Today, our dynamic and highly skilled team is proud to offer an extensive range of decorative and industrial electroplating finishes as well as a variety of additional services.","Bernie Street
		
					Unit 6, Bernie Industrial Park
		
					Kya Sand, Greater Johannesburg 2169",082 349 2568 or 081 303 8973 or 021 551 9090/1/2/3,www.paint-master.co.za,(0 reviews),0
Mosec Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13088.gif,"Apart from the expert knowledge and vast experience of the principal members, our expertise are drawn from a group of outstanding technicians who have both experience and qualifications in the Information Technology and electrical fields.","122 George Ave,Sandringham",011 311 2711,www.paintfellas.co.za,(0 reviews),0
Mr. Washline,"in Renovating and Building Services, Home and Living Shopping, Household Products, Household Services, Landscaping",http://www.sahomesguide.co.za/custom/image_files/photo_16969.gif,"We manufacture and sell wall mounted, foldaway washing lines, as well as numerous other products to the building industry and the general public. We deliver all of our products NATIONWIDE. ",Services throughout South Africa,082 378 2381,See Pennypinchers Website,(0 reviews),0
MVS Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13210.jpg,"We provide comprehensive specialist services to industry for Construction, Engineering, Planning, Installation, Testing, Commissioning and Maintenance of 3.3Kv to 33Kv Distribution networks.","38 Forge Road,Spartan Kempton Park
		
		
					Kempton Park, East Rand",+27 (0)12 541 3855 ,www.phoenixpools.co.za,(0 reviews),0
N & S Elektries & Verkoeling,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13084.gif,"Electrician in KAKAMAS, Northern Cape.","6 Aurora Dve, Umhlanga Ridge, Umhlanga Rocks
		
		
					Umhlanga , Durban Metro and Durban",087 8021239,View Plumbcare PlumbingWebsite,(0 reviews),0
Oscon,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13156.gif,"Together, services of a high standard can be guaranteed.",Services throughout the Gauteng area,+27 (15) 293 0123,See Plumbers on Call Website,(0 reviews),0
P P E Technologies,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13154.gif,"Power Plant Electrical Technologies (PPE Technologies) is an integrated electrical engineering house, with a number of speciality services and skills.",Services throughout Johannesburg,(+27) 13 752 3570,View Plumex Plumbers &Drain Layers Website,(0 reviews),0
Paint Master,"in Home Interior and Decor, Renovating and Building Services, Paints",http://www.sahomesguide.co.za/custom/image_files/photo_18278.jpg,"With over 40 years' experience in manufacturing and distributing household paint products, Martin Vosloo Paints has formulated the unique range of Paint Master Premium products and services. Our SAPMA-membership, proudly South African range of paints",Services in Nelson Mandela Metro and surrounds,083 267 1122 or 011 708 3166,www.quicksandflooring.co.za,(0 reviews),0
Paintfellas,"in Household Services, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_18257.jpg,"Painting, dampproofing, redecorating and waterproofing. We do it all with passion and to the highest standard.
",Services throughout Tembisa,082 332 6990 or 011 640 6990,http://www.randburgtech.co.za/,(0 reviews),0
Pennypinchers,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_12955.gif,"Pennypinchers is dedicated to using the most creative and innovative means to provide the best possible service and value, thereby retaining its leadership in this retail and service market sector.","105 Marshall Av, Bluff, Durban
		
		
					Bluff, Durban, Durban Metro and Durban",+27 21 927 5000,See Red Lion Worx Website,(0 reviews),0
Phoenix Pools,"in Renovating and Building Services, Homemakers Shopping, Swimming Pools",http://www.sahomesguide.co.za/custom/image_files/photo_18092.jpg,"Phoenix Pools are the leaders who pioneered the pool industry in 1969 We sell direct to the public, wholesale and deliver country wide.
","122 George Ave, Sandringham
		
		
					Edenvale, East Rand",011 394 2220 or  011 394 2221,www.rentashade.co.za,(0 reviews),0
Phumbali Trading and Services CC,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13112.gif,"Specialising in Building Maintenanace, Plumbing, Electrical Services and Supplying Of Equipment. ","17 Mount Shannon, Cork Street
		
					Ferndale
		
					Randburg, Greater Johannesburg",031 566 2927,See Russel Knott ElectricalWebsite,(0 reviews),0
Plumbcare Plumbing,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13174.gif,"We strive for the best service, quality parts and guaranteed service.",Services throughout Pretoria,082-445-3883 / 083-271-9453,Visit Sagutter Website,(0 reviews),0
Plumbers on Call,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13166.gif,"We are available for plumbing work in private homes, complexes and apartment blocks.","25 Cactus Road, Primrose Germiston
		
		
					Germiston, East Rand",+27 83 452 5431,See Sandton Plumbers &Solar Website,(0 reviews),0
Plumex Plumbers,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13212.gif,"Plumex Plumbers is a family business, started by Ivor McMullan in 1978. Ivor McMullan passed his Government Trade Test in 1975, and subsequently was awarded the required Municipal Examination Certificates for both Plumbing and Drainage.","Services throughout Port Elizabeth
		
		
					Port Elizabeth Area, Western Region",041 922 9248,http://www.sawlfa.co.za/,(0 reviews),0
Powerrider Electrical & Projects,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13194.gif,Powerider Electrical & Projects are a modern and innovative electrical organisation that has the solution for all your electrical requirements.,"Edenvale, Unit 3 55 A Harris Road
		
		
					Edenvale, East Rand 1610",079 973 5474,See Schmidhauser ElectricalWebsite,(0 reviews),0
Pyramid Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13110.gif,Pyramid Electrical Contractor provide a fully inclusive help for both your home and commercial requirements.,Northern Areas of JHB,031 467 4488,See SDC Electrical Website,(0 reviews),0
Quicksand Flooring,"in Homecare Products, Household Services, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_18247.jpg,"Quicksand Flooring, started by Clinton Tracy has over 17 years of experience, including a 4 year apprenticeship in installations, sanding and varnishing of all types of internal wooden floors.
",Services throughout South Africa,082 490 0389,www.securebars.co.za,(0 reviews),0
Randburg technology,"in Renovating and Building Services, Home Security Products",http://www.sahomesguide.co.za/custom/image_files/photo_16083.gif,"We are a dynamic company specialising in the installation and servicing of security systems.We are specialists in both physical and electronic security systems. Therefore you can trust us to give you a
total security solution.",Services throughout Camps Bay,0833405492,Visit Silver Pool SolutionsWebsite,(0 reviews),0
Red Lion Worx,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13138.jpg,"We specialise in Construction Plumbing, Maintenance Plumbing, Preventative Maintenance, Specialised Mechanical Drain Cleaning, Zip Hydroboils and LP Gas.","Constantiaberg Business Park, Princessvlei Road
		
		
					Diep River, Southern Suburbs",(072) 559-6873,view Slice of Greens website,(0 reviews),0
Rent a Shade,"in Renovating and Building Services, Homecare Products",http://www.sahomesguide.co.za/custom/image_files/photo_18020.jpg,"Rent-A-Shade are the originators of the concept of renting your shadeports allowing you the choice of colour, design and style, while allowing the financial benefits applicable with renting.
",Delivery throughout South Africa,011 828 1214,View Slip No More Website,(0 reviews),0
Russel Knott Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13102.jpg,"Russel Knott Electrical provides Electrical Services to the Domestic, Industrial and Commercial Sectors in Port Elizabeth / Eastern Cape. ","46 Graphite Industrial park, Fabriek st, Randburg,
		
		
					Randburg, Greater Johannesburg",041 581 8918 / 083 321 5301,www.stemar.co.za,(0 reviews),0
Sagutter,"in Renovating and Building Services, Household Services, Homecare Products",http://www.sahomesguide.co.za/custom/image_files/photo_18315.jpg,"With years of experience available to the potential customer carried through from the design to the installation of the work by the teams, we try to please most of our client's needs.","1 Point Place, Amanzimtoti
		
		
					Amanzimtoti, South Coast",086 188 7776 or 082 828 8334,Visit Sun Soultions cc Website,(1 review),5
Sandton Plumbers & Solar,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13056.gif,"Welcome to the best plumbers in JHB, established 1975. We are guaranteed to deliver a service of quality in the form of plumbing expertise and advice.","7 Randpark Drive ,Randpark Ridge
		
		
					Roosevelt Park, Greater Johannesburg 2156",011 468 1454,http://www.sunfor.co.za/,(0 reviews),0
SAWLFA,"in Renovating and Building Services, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_16271.gif,Southern African Wood and Laminate Flooring Association,Servicing Cape Point through to Paarl & In-lying,011 455 2822,See Supa Nova Electrical Power& Plumbing Website,(0 reviews),0
Schmidhauser Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13094.gif,"Works done by master electricians and engineers, for all your electrical requirements.","16 Gerhardus Street
		
		
					Randburg, Greater Johannesburg 2194 ̴",021 438 8807 ,View Supreme Ceilings andDrywalling Website,(0 reviews),0
SDC Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13098.gif,"As master electricians we pride ourselves on honesty, integrity and excellent service.",Services throughout Gauteng,021 801 9867 or 083 388 9996,View Supreme PaintingSpecialists Website,(0 reviews),0
Securebars,"in Home Security Products, Home and Living Shopping, Renovating and Building Services, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_18366.jpg,Securebars is the largest supplier and manufacturer of clear security solutions in the Western Cape and our new branch in JHB opens on the 6th May 2013. ,Services throughout Gauteng and surrounds,021 903 7950 or 072 676 0397,See Techno Electrical Website,(0 reviews),0
Silver Pool Solutions,"in Renovating and Building Services, Swimming Pools",http://www.sahomesguide.co.za/custom/image_files/photo_16913.gif,"Silver Pool Solutions strives to give you the best customer service in pool care. We understand that proper communication builds trust, and with trust we will build a long term relationship. ",Services throughout Gauteng and surrounds,0710838939,View Teloc Enviro-FriendlyWebsite,(0 reviews),0
Slice of Green,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_9196.gif, ,Services throughout Queensburgh,072 944 2449,See The Drain Surgeon Website,(0 reviews),0
Slip No More,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13683.gif,Slice of Green - Everything depends on the size of your smile!,services throughout Rustenburg,031 916 5272,See The Electro SurgeonWebsite,(0 reviews),0
Sparkies Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13114.gif,"Within the Slip No More Anti Slip products group, Slip No More South Africa was the first country to manufacture and distribute the Slip No More Anti Slip floor safety range of products. ",Services throughout Western Cape,0861-STEMAR (783627) / (011) 791-5515,http://www.themaintenanceguys.co.za,(0 reviews),0
Stemar Security Systems,"in Home Security Products, Homecare Products, Household Products, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_16441.gif,Come to Sparkies Electrical for any of your electrical problems.,Services throughout South Africa,083 285 8752  ,Visit The Right GuyMaintenance Website,(0 reviews),0
Sun Solutions cc,"in Renovating and Building Services, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_17199.gif,We are a registered Security Service Provider by the private industry regulatory authority. Providing your home with the safety you need!,Services throughout South Africa,011 791 5008 or 082 447 4675,View The Solar Shop Website,(0 reviews),0
Sunfor-tech,"in Home Interior and Decor, Home and Living Shopping, Household Products, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_16413.gif,Sun Solutions cc specialize in providing our corporate and residential clients with specialized products to control the sun.,Services throughout South Africa,0861 467 669 / 011 485 2803,See Thuthuka ElectricalWebsite,(0 reviews),0
